conflict_id,group_id,conflict_type,detection_method,timestamp,severity_level,intervention_time_hours,resolution_strategy,resolution_success,group_satisfaction_before,group_satisfaction_after,human_ta_involved,follow_up_needed
CON0001,GRP008,Quality Standards Disagreement,Student Report,2025-07-29 07:04:15.563665,High,1.9246626836783773,Communication Training,True,5.666937475399651,8.185499908428985,False,False
CON0002,GRP001,Communication Style Clash,Communication Analysis,2025-08-10 12:04:15.563692,High,3.0224986289411193,Communication Training,False,4.093152497322536,7.385824024897364,False,True
CON0003,GRP006,Unequal Contribution,Student Report,2025-08-11 10:04:15.563702,High,0.6069270194989428,Skill-Based Task Assignment,True,6.82887761726008,7.4597521463100955,True,False
CON0004,GRP013,Quality Standards Disagreement,Student Report,2025-07-31 09:04:15.563710,High,0.5,Mediated Compromise,True,6.119231566664373,7.171577360787727,True,False
CON0005,GRP008,Technical Disagreement,Communication Analysis,2025-08-10 03:04:15.563717,Medium,4.320804735821285,Skill-Based Task Assignment,True,6.297508489931367,9.09635130974573,False,False
CON0006,GRP014,Leadership Dispute,Communication Analysis,2025-08-21 05:04:15.563725,Low,0.9092673116805133,Communication Training,True,7.067096751145636,7.287623554191885,False,True
CON0007,GRP007,Scheduling Conflict,Participation Metrics,2025-08-01 16:04:15.563732,High,1.8343556780201355,Structured Discussion,False,3.5499750368880063,3.247054765287058,True,False
CON0008,GRP005,Communication Style Clash,Student Report,2025-08-15 08:04:15.563743,Low,0.5,Mediated Compromise,True,5.074711485721457,7.569474383244389,True,True
CON0009,GRP014,Unequal Contribution,Participation Metrics,2025-07-28 01:04:15.563752,High,1.7206321843939838,Skill-Based Task Assignment,False,4.977069424852817,6.125332387591014,False,True
CON0010,GRP020,Unequal Contribution,Communication Analysis,2025-08-13 19:04:15.563760,High,3.80261273532302,Communication Training,False,4.088564999415755,3.7999024619800257,False,False
CON0011,GRP016,Quality Standards Disagreement,Participation Metrics,2025-08-01 09:04:15.563769,Low,0.5,Goal Realignment,True,4.683481142599438,7.958114251200468,False,False
CON0012,GRP016,Communication Style Clash,Participation Metrics,2025-08-10 09:04:15.563776,Low,0.5,Structured Discussion,False,6.8384360530371,8.19481300881217,False,True
CON0013,GRP001,Scheduling Conflict,Student Report,2025-08-09 14:04:15.563783,Medium,2.5907350949531036,Skill-Based Task Assignment,True,4.976675805968676,9.17359375151954,False,True
CON0014,GRP019,Unequal Contribution,Student Report,2025-08-12 18:04:15.563790,Low,0.5,Role Redistribution,True,5.146506019567247,8.851447190005992,False,True
CON0015,GRP006,Communication Style Clash,Communication Analysis,2025-08-16 01:04:15.563797,Low,1.5697159220700163,Mediated Compromise,True,6.061121923159803,8.581660992607109,False,False
CON0016,GRP005,Unequal Contribution,Communication Analysis,2025-08-15 18:04:15.563804,Medium,0.8783391427490996,Goal Realignment,True,8.024298624460553,5.88958985145762,False,False
CON0017,GRP014,Communication Style Clash,Student Report,2025-08-21 19:04:15.563812,Low,1.1606342778271515,Skill-Based Task Assignment,True,5.878008052873672,7.033415238213222,False,True
CON0018,GRP006,Quality Standards Disagreement,Participation Metrics,2025-08-19 20:04:15.563819,Low,0.7768085203179613,Role Redistribution,True,4.642956806002164,7.381377603370559,True,True
CON0019,GRP008,Quality Standards Disagreement,Communication Analysis,2025-08-13 03:04:15.563825,High,2.7566813432214903,Communication Training,True,6.7488425805408285,7.453826156539319,False,False
CON0020,GRP019,Leadership Dispute,Participation Metrics,2025-08-05 04:04:15.563833,Low,0.5,Communication Training,True,3.3404347000444767,8.188607119592941,False,False
CON0021,GRP014,Communication Style Clash,Student Report,2025-08-05 12:04:15.563840,Medium,1.8703448357239396,Mediated Compromise,False,3.7052073750721606,5.562175224794504,True,True
CON0022,GRP001,Communication Style Clash,Participation Metrics,2025-08-11 21:04:15.563847,Medium,3.980023298991054,Communication Training,True,2.9790013319549637,7.251224512131955,False,True
CON0023,GRP005,Unequal Contribution,Communication Analysis,2025-08-01 17:04:15.563854,Low,7.818078778925072,Communication Training,True,5.43351308153258,7.038165148030098,False,False
CON0024,GRP005,Unequal Contribution,Student Report,2025-08-16 19:04:15.563862,High,1.1242116611250585,Role Redistribution,True,8.72627803935194,6.785723873475775,False,True
CON0025,GRP020,Leadership Dispute,Communication Analysis,2025-08-14 04:04:15.563869,High,5.31906468570922,Communication Training,True,5.426301442767344,6.415435568116911,True,False
CON0026,GRP009,Technical Disagreement,Student Report,2025-08-18 16:04:15.563876,Low,1.6537277121921745,Structured Discussion,True,5.8880842678031,9.536405541102072,False,False
CON0027,GRP008,Quality Standards Disagreement,Student Report,2025-08-20 16:04:15.563883,High,1.7526818326392364,Role Redistribution,True,7.10787745513355,8.275293033562301,False,True
CON0028,GRP018,Unequal Contribution,Student Report,2025-08-10 18:04:15.563890,Medium,0.5,Role Redistribution,True,3.38188105733565,9.063972335570245,False,False
CON0029,GRP002,Unequal Contribution,Communication Analysis,2025-08-23 11:04:15.563897,High,2.129899549986247,Structured Discussion,True,8.395156399481438,8.28302333189308,True,True
CON0030,GRP019,Unequal Contribution,Communication Analysis,2025-08-16 09:04:15.563953,Medium,0.5,Structured Discussion,True,6.174408870250475,9.431726271993977,False,False
CON0031,GRP002,Quality Standards Disagreement,Student Report,2025-07-29 16:04:15.563970,Low,0.7506040565365267,Goal Realignment,True,5.132936864860622,9.71040328437941,True,True
CON0032,GRP004,Leadership Dispute,Student Report,2025-08-12 03:04:15.563979,Medium,4.937910786831377,Mediated Compromise,True,3.979077067224904,7.024910192085244,True,False
CON0033,GRP019,Leadership Dispute,Participation Metrics,2025-08-12 05:04:15.563986,Medium,0.87768170890948,Communication Training,True,6.739021188560947,6.7008025565326195,False,True
CON0034,GRP010,Leadership Dispute,Student Report,2025-08-22 16:04:15.563994,Medium,0.5,Skill-Based Task Assignment,True,5.12188725408553,8.083038078899484,False,False
CON0035,GRP002,Leadership Dispute,Communication Analysis,2025-08-24 09:04:15.564002,High,2.0082363595151325,Mediated Compromise,True,6.927272718899502,8.343215011392076,False,True
CON0036,GRP003,Technical Disagreement,Student Report,2025-08-02 11:04:15.564009,Medium,4.04960025808571,Communication Training,True,4.554328991985356,8.846213483848908,True,True
CON0037,GRP014,Communication Style Clash,Participation Metrics,2025-08-02 16:04:15.564017,Low,3.7264502547687086,Mediated Compromise,True,5.273946137825738,8.904016566650702,False,True
CON0038,GRP006,Leadership Dispute,Participation Metrics,2025-08-22 17:04:15.564024,High,0.5,Goal Realignment,True,6.563797523544008,7.499054871347242,True,False
CON0039,GRP008,Scheduling Conflict,Student Report,2025-07-29 07:04:15.564031,High,0.5,Skill-Based Task Assignment,True,5.000977330420157,6.087150039509924,False,False
CON0040,GRP020,Quality Standards Disagreement,Student Report,2025-08-16 14:04:15.564039,Low,1.3748503787773934,Structured Discussion,True,5.9928176406834455,7.83764209931965,True,False
CON0041,GRP013,Technical Disagreement,Student Report,2025-08-19 04:04:15.564046,High,0.5,Communication Training,False,5.295306932735226,7.897996210887398,False,True
CON0042,GRP006,Leadership Dispute,Participation Metrics,2025-08-03 05:04:15.564053,Low,0.5,Communication Training,True,7.230475911820882,7.471672132158997,True,False
CON0043,GRP003,Scheduling Conflict,Participation Metrics,2025-08-14 03:04:15.564060,Low,1.3445145292752076,Goal Realignment,True,5.456866071527494,7.014945461113985,True,False
CON0044,GRP010,Quality Standards Disagreement,Communication Analysis,2025-08-02 05:04:15.564067,High,0.8361101806074872,Goal Realignment,True,5.9236273370871295,8.368477992922388,False,False
CON0045,GRP006,Unequal Contribution,Communication Analysis,2025-08-06 14:04:15.564074,High,0.5,Role Redistribution,True,4.29531986766082,6.516257157505793,False,False
CON0046,GRP007,Unequal Contribution,Participation Metrics,2025-08-13 18:04:15.564081,Low,0.8928557744935639,Skill-Based Task Assignment,True,6.187445837805922,10.711302736623663,False,False
CON0047,GRP013,Communication Style Clash,Participation Metrics,2025-08-08 13:04:15.564088,Medium,2.209239131429965,Structured Discussion,True,4.408342186081861,5.381634120435897,True,False
CON0048,GRP012,Technical Disagreement,Student Report,2025-08-16 12:04:15.564095,Medium,4.431297581334785,Role Redistribution,True,6.302246915297802,7.7194603349578665,False,False
CON0049,GRP003,Scheduling Conflict,Participation Metrics,2025-08-11 08:04:15.564102,Medium,2.988336852574023,Mediated Compromise,True,3.951089170391728,7.97883735161282,False,False
CON0050,GRP017,Leadership Dispute,Communication Analysis,2025-08-14 20:04:15.564109,High,3.4263952285270096,Structured Discussion,False,4.721925836811934,4.874033527128862,False,False
CON0051,GRP006,Technical Disagreement,Participation Metrics,2025-08-18 18:04:15.564116,Medium,0.5323370757550769,Communication Training,True,3.6367377893523334,7.921976499538167,False,True
CON0052,GRP002,Technical Disagreement,Student Report,2025-07-28 05:04:15.564123,Low,0.7047141511607684,Mediated Compromise,True,5.6653277878822195,7.9444477547466725,True,False
CON0053,GRP012,Communication Style Clash,Student Report,2025-08-13 12:04:15.564129,High,0.6698470660795857,Mediated Compromise,True,5.522476804499128,6.3340225676475015,False,True
CON0054,GRP005,Unequal Contribution,Communication Analysis,2025-08-20 11:04:15.564137,High,7.086028748756742,Communication Training,True,4.461585439902933,8.955136289653959,False,False
CON0055,GRP004,Leadership Dispute,Communication Analysis,2025-07-29 14:04:15.564143,Low,0.850824791045783,Role Redistribution,False,5.263058555495847,8.051419651653195,False,False
