achievement_id,student_id,group_id,achievement_type,points_earned,timestamp,difficulty_level,team_bonus,engagement_increase,time_to_earn_hours,shared_with_team
GAM0001,STU027,GRP009,Debugging Hero,98,2025-08-24 06:04:15.558869,Platinum,False,14.836119101273216,15.596725632057058,True
GAM0002,STU025,GRP016,Documentation Champion,86,2025-08-24 06:04:15.558902,Platinum,True,11.171612753853456,19.630173405510934,True
GAM0003,STU058,GRP005,Team Player,19,2025-08-10 21:04:15.558910,Bronze,True,17.307976133951637,0.06611487591271839,True
GAM0004,STU063,GRP003,Model Master,78,2025-08-17 12:04:15.558917,Silver,False,8.173505471569216,28.08430150805959,False
GAM0005,STU051,GRP010,Documentation Champion,46,2025-08-06 05:04:15.558923,Gold,True,10.577290611007818,15.649367597824435,False
GAM0006,STU051,GRP007,Code Collaborator,81,2025-08-06 10:04:15.558929,Platinum,True,10.776240584844603,5.646094727209472,True
GAM0007,STU005,GRP016,Presentation Pro,23,2025-08-22 02:04:15.558935,Silver,True,4.458231308703793,62.19415038967208,False
GAM0008,STU024,GRP003,Code Collaborator,40,2025-08-15 04:04:15.558943,Gold,False,21.52792947763433,8.649700909897579,False
GAM0009,STU057,GRP020,Data Detective,94,2025-08-04 13:04:15.558952,Silver,True,12.909869071522794,81.65103160364373,False
GAM0010,STU006,GRP019,Data Detective,29,2025-08-17 05:04:15.558958,Gold,True,14.618655850926052,120.55727796906513,True
GAM0011,STU026,GRP002,Debugging Hero,58,2025-08-21 05:04:15.558964,Gold,True,5.57256821454863,51.106208341851314,True
GAM0012,STU025,GRP011,Presentation Pro,13,2025-08-05 21:04:15.558970,Platinum,True,13.031058213634207,29.005187209523505,False
GAM0013,STU078,GRP017,Documentation Champion,81,2025-08-21 01:04:15.558975,Silver,False,12.076386849248365,5.617887414324301,True
GAM0014,STU009,GRP014,Data Detective,89,2025-08-09 03:04:15.558981,Silver,False,5.174499335193927,10.118769288269993,True
GAM0015,STU019,GRP004,Team Player,10,2025-08-16 08:04:15.558987,Bronze,True,8.106784433228892,34.29647992997809,False
GAM0016,STU073,GRP004,Team Player,90,2025-08-23 17:04:15.558992,Bronze,True,10.026568123765948,50.38137109861236,True
GAM0017,STU061,GRP019,Debugging Hero,46,2025-08-09 20:04:15.558998,Platinum,False,12.360001131909295,8.450602658803092,False
GAM0018,STU031,GRP016,Documentation Champion,54,2025-08-03 14:04:15.559005,Platinum,False,12.703912356022458,6.095827629214744,False
GAM0019,STU020,GRP015,Innovation Leader,38,2025-08-21 10:04:15.559011,Gold,True,5.973423510984985,7.2159987696176255,False
GAM0020,STU050,GRP009,Model Master,57,2025-08-08 17:04:15.559017,Bronze,False,10.14636666200598,83.72810525646183,False
GAM0021,STU019,GRP002,Presentation Pro,62,2025-08-09 08:04:15.559022,Silver,False,12.447907064323001,60.2227040704596,True
GAM0022,STU046,GRP007,Debugging Hero,63,2025-08-05 15:04:15.559028,Platinum,False,13.225150602585586,15.061994318850674,False
GAM0023,STU057,GRP013,Presentation Pro,56,2025-08-17 07:04:15.559033,Gold,False,2.528242938265498,51.33036308299226,True
GAM0024,STU068,GRP007,Team Player,37,2025-08-09 07:04:15.559039,Silver,True,7.518407552396771,14.210646148910627,False
GAM0025,STU080,GRP012,Presentation Pro,80,2025-08-06 02:04:15.559045,Platinum,False,15.809281609323275,13.447355612706804,True
GAM0026,STU028,GRP013,Model Master,70,2025-08-22 04:04:15.559050,Platinum,False,20.51662344963971,19.88767683887978,False
GAM0027,STU080,GRP014,Data Detective,35,2025-08-19 20:04:15.559056,Gold,True,12.58522389816085,1.7274512064144139,True
GAM0028,STU067,GRP014,Model Master,66,2025-08-23 23:04:15.559061,Silver,False,11.27372218322755,9.432574458613022,True
GAM0029,STU023,GRP009,Model Master,92,2025-08-15 22:04:15.559067,Silver,True,12.143101941183142,64.62142663048863,True
GAM0030,STU060,GRP008,Model Master,72,2025-08-17 18:04:15.559073,Bronze,True,13.418763944157428,6.908656750480528,False
GAM0031,STU011,GRP001,Data Detective,16,2025-08-17 10:04:15.559079,Bronze,False,11.367902079654876,9.064741915568245,False
GAM0032,STU046,GRP007,Model Master,37,2025-08-17 22:04:15.559084,Bronze,False,17.2763047654731,16.702237812284643,True
GAM0033,STU041,GRP019,Presentation Pro,70,2025-08-17 06:04:15.559090,Silver,False,14.589630106399078,51.313236848959676,True
GAM0034,STU072,GRP006,Model Master,30,2025-08-15 15:04:15.559095,Bronze,False,12.90268386385275,12.294367009645462,True
GAM0035,STU071,GRP016,Documentation Champion,98,2025-08-06 09:04:15.559101,Silver,True,11.286542411146076,42.91938644240284,True
GAM0036,STU019,GRP015,Code Collaborator,15,2025-08-21 14:04:15.559106,Platinum,False,8.063874330998214,60.038791693400626,True
GAM0037,STU022,GRP001,Innovation Leader,66,2025-08-12 00:04:15.559112,Silver,False,14.08510948886485,6.761353201528073,False
GAM0038,STU063,GRP019,Innovation Leader,53,2025-08-22 16:04:15.559117,Gold,True,14.844503040434581,2.685785797610865,True
GAM0039,STU080,GRP010,Debugging Hero,29,2025-08-22 03:04:15.559123,Silver,False,9.683503831457806,6.0257977923818355,True
GAM0040,STU011,GRP012,Presentation Pro,12,2025-08-11 05:04:15.559129,Platinum,True,17.14716400981204,3.829518528935882,True
GAM0041,STU033,GRP007,Documentation Champion,76,2025-08-05 05:04:15.559134,Bronze,False,12.057278031188918,19.040144974808985,True
GAM0042,STU022,GRP002,Team Player,99,2025-08-17 23:04:15.559140,Gold,False,14.923178361254793,65.81056822432247,False
GAM0043,STU044,GRP002,Documentation Champion,94,2025-08-14 17:04:15.559145,Bronze,False,13.712429573806538,36.85065204892646,True
GAM0044,STU017,GRP020,Data Detective,83,2025-08-24 02:04:15.559151,Gold,False,8.659046539499801,2.8537821886554524,True
GAM0045,STU061,GRP013,Debugging Hero,14,2025-08-09 16:04:15.559156,Gold,False,19.691973819313965,29.6872448090859,True
GAM0046,STU066,GRP014,Debugging Hero,100,2025-08-17 04:04:15.559161,Silver,False,11.988590917307404,22.886268670633875,False
GAM0047,STU071,GRP007,Presentation Pro,46,2025-08-18 19:04:15.559166,Bronze,False,10.525708362773447,28.08318166067501,False
GAM0048,STU011,GRP011,Code Collaborator,12,2025-08-07 04:04:15.559172,Silver,True,13.816140383502523,6.066690836925291,True
GAM0049,STU023,GRP012,Code Collaborator,29,2025-08-12 07:04:15.559177,Silver,True,18.867383722208785,68.41867074240486,False
