interaction_id,student1_id,student2_id,interaction_type,timestamp,duration_minutes,quality_rating,follow_up_needed,topic
INT0001,STU054,STU053,Knowledge Sharing,2025-08-05 12:18:59.381849,38,7.8,True,Feature Engineering
INT0002,STU050,STU052,Meeting,2025-08-16 19:28:59.381982,47,9.3,False,Results Interpretation
INT0003,STU059,STU060,Meeting,2025-08-21 19:46:59.382107,90,6.8,False,Project Planning
INT0004,STU059,STU057,Knowledge Sharing,2025-07-27 19:02:59.382225,45,7.6,False,Code Debugging
INT0005,STU037,STU039,Knowledge Sharing,2025-08-16 09:32:59.382339,102,8.0,True,Documentation
INT0006,STU037,STU030,Conflict Resolution,2025-08-16 13:56:59.382366,94,6.4,False,Feature Engineering
INT0007,STU007,STU006,Code Review,2025-08-05 22:22:59.382485,31,7.3,True,Results Interpretation
INT0008,STU054,STU053,Meeting,2025-07-29 16:12:59.382600,61,7.0,False,Feature Engineering
INT0009,STU063,STU064,Conflict Resolution,2025-07-30 06:39:59.382721,24,7.1,True,Hyperparameter Tuning
INT0010,STU051,STU072,Conflict Resolution,2025-08-21 22:08:59.382737,48,5.8,True,Documentation
INT0011,STU036,STU035,Conflict Resolution,2025-08-20 12:54:59.382847,75,7.0,True,Presentation Prep
INT0012,STU078,STU079,Discussion,2025-08-03 19:10:59.382962,104,7.7,False,Project Planning
INT0013,STU005,STU006,Planning Session,2025-08-21 06:53:59.383071,83,9.2,True,Project Planning
INT0014,STU072,STU071,Meeting,2025-07-26 20:27:59.383186,27,8.4,False,Project Planning
INT0015,STU036,STU005,Conflict Resolution,2025-08-17 19:40:59.383200,45,10.0,False,Model Selection
INT0016,STU048,STU070,Conflict Resolution,2025-08-22 21:51:59.383212,39,5.8,True,Documentation
INT0017,STU025,STU028,Conflict Resolution,2025-08-17 05:18:59.383328,87,8.3,True,Model Selection
INT0018,STU071,STU027,Help Request,2025-07-29 02:47:59.383343,114,7.3,True,Data Preprocessing
INT0019,STU018,STU019,Collaboration,2025-07-30 05:01:59.383457,99,10.0,True,Feature Engineering
